City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Acajutla,13.5928,-89.8275,89.94,52,3,6.15,SV,1636493042
Mahébourg,-20.4081,57.7,74.25,78,20,3.44,MU,1636492988
Bluff,-46.6,168.3333,58.53,79,100,1.01,NZ,1636492935
Guarapari,-20.6667,-40.4975,76.89,92,100,5.61,BR,1636493043
Torbay,47.6666,-52.7314,42.76,92,20,5.75,CA,1636493044
Etāwah,26.7769,79.0239,66.69,41,4,5.08,IN,1636493045
Ondjiva,-17.0667,15.7333,78.28,38,100,5.21,AO,1636493045
Banjarmasin,-3.3244,114.591,77.14,93,100,0.34,ID,1636493046
Ekenäs,59.9736,23.4339,44.47,98,100,23.6,FI,1636493047
Bethel,41.3712,-73.414,66.58,56,1,4.14,US,1636492939
Padang,-0.9492,100.3543,78.85,85,100,3.51,ID,1636493048
Cape Town,-33.9258,18.4232,61.11,74,0,5.75,ZA,1636492948
Salalah,17.0151,54.0924,78.89,65,0,3.44,OM,1636493049
Walvis Bay,-22.9575,14.5053,58.15,82,1,10.36,NA,1636493050
Kaduqli,11.0167,29.7167,84.0,30,57,6.31,SD,1636493050
Merauke,-8.4667,140.3333,78.58,88,74,7.76,ID,1636493051
Barrow,71.2906,-156.7887,21.22,68,90,16.11,US,1636492944
Port Lincoln,-34.7333,135.8667,54.32,60,99,17.67,AU,1636492782
Achacachi,-16.05,-68.6833,55.45,57,69,17.29,BO,1636493052
Constitución,-35.3333,-72.4167,58.84,79,65,11.59,CL,1636492856
Neryungri,56.6709,124.6491,7.48,99,90,3.47,RU,1636493053
San Francisco,37.7749,-122.4194,66.16,88,75,1.01,US,1636492365
New Norfolk,-42.7826,147.0587,53.74,86,100,1.32,AU,1636492975
Palu,-0.8917,119.8707,75.36,95,100,2.26,ID,1636493054
Vidim,56.4088,103.1106,26.94,94,100,4.99,RU,1636493055
Kavieng,-2.5744,150.7967,84.13,67,59,16.82,PG,1636493055
Kristiansund,63.1115,7.732,45.25,81,75,19.57,NO,1636493056
Flin Flon,54.7682,-101.865,30.04,64,20,9.22,CA,1636493056
Kapaa,22.0752,-159.319,81.12,77,1,1.99,US,1636492666
Mmabatho,-25.85,25.6333,64.36,29,6,6.91,ZA,1636493057
Bambous Virieux,-20.3428,57.7575,74.21,78,20,3.44,MU,1636493058
Mayumba,-3.432,10.6554,77.68,90,100,3.33,GA,1636493058
Rampur Hat,24.1667,87.7833,67.15,68,26,3.62,IN,1636493059
Daru,-9.0763,143.2092,80.98,80,75,4.14,PG,1636493060
Sampit,-2.5333,112.95,75.92,97,100,1.66,ID,1636493061
Chokurdakh,70.6333,147.9167,-14.28,94,71,7.45,RU,1636493061
Soria,41.6667,-2.6667,38.86,73,0,4.88,ES,1636493062
Fortuna,40.5982,-124.1573,59.18,62,90,3.0,US,1636492940
Ji’an,27.1172,114.9793,47.73,71,1,1.36,CN,1636493063
Wanlaweyn,2.6185,44.8938,77.41,79,42,10.09,SO,1636493064
Touros,-5.1989,-35.4608,81.5,73,40,13.91,BR,1636493065
Mizdah,31.4451,12.9801,62.29,83,4,6.24,LY,1636493065
Callaway,30.153,-85.5699,75.25,48,1,3.0,US,1636493066
Ziro,27.6333,93.8333,41.59,70,2,2.62,IN,1636493066
Miandrivazo,-19.5167,45.4667,83.71,59,95,5.57,MG,1636493067
Piaçabuçu,-10.4056,-36.4344,78.78,77,44,12.95,BR,1636493067
Butaritari,3.0707,172.7902,82.26,75,66,16.91,KI,1636493068
Vardø,70.3705,31.1107,28.38,86,90,26.46,NO,1636493069
Arkhipo-Osipovka,44.37,38.52,48.18,85,100,20.89,RU,1636493069
Otavi,-19.65,17.3333,78.35,36,87,4.5,NA,1636493070
Tasiilaq,65.6145,-37.6368,23.16,64,100,5.23,GL,1636493071
Tautira,-17.7333,-149.15,82.42,79,49,14.32,PF,1636493071
Longyearbyen,78.2186,15.6401,31.84,64,40,12.66,SJ,1636492946
Kirksville,40.1948,-92.5833,64.06,57,1,1.99,US,1636493072
Baculin,7.4525,126.5842,78.24,84,100,4.74,PH,1636493073
Calatayud,41.3535,-1.6432,59.58,61,0,2.33,ES,1636493073
George Town,5.4112,100.3354,80.53,88,40,0.0,MY,1636493074
Kumul,42.8,93.45,25.52,58,0,4.79,CN,1636493074
Puri,19.8,85.85,68.52,69,100,9.26,IN,1636493075
Malakal,9.5334,31.6605,76.82,77,85,4.29,SS,1636493076
Bakchar,57.0186,82.0711,32.22,73,100,12.44,RU,1636493077
Neyshabur,36.2133,58.7958,43.97,24,0,0.25,IR,1636492876
Yangi Marg`ilon,40.4272,71.7189,42.22,56,75,2.3,UZ,1636493078
Krasnyy Yar,46.5331,48.3456,51.73,90,100,7.56,RU,1636493079
San Policarpo,12.1791,125.5072,80.82,84,96,12.35,PH,1636493079
Saint-Philippe,-21.3585,55.7679,73.22,87,58,10.74,RE,1636493080
Beloha,-25.1667,45.05,72.14,81,0,5.68,MG,1636493080
Brainerd,46.358,-94.2008,55.09,32,1,5.75,US,1636493081
Bubaque,11.2833,-15.8333,83.82,66,34,11.18,GW,1636493081
Dwārka,22.2394,68.9678,79.68,48,100,8.05,IN,1636493082
Leningradskiy,69.3833,178.4167,3.02,87,85,3.83,RU,1636493083
Port Alfred,-33.5906,26.891,61.3,74,0,7.25,ZA,1636493084
Valdivia,-39.8142,-73.2459,60.89,70,43,6.31,CL,1636493084
Puerto Ayora,-0.7393,-90.3518,76.96,77,98,10.67,EC,1636493085
Vostok,46.4856,135.8833,28.9,97,93,0.78,RU,1636492928
Kenora,49.8167,-94.4337,44.58,45,20,9.22,CA,1636493086
Santo Antônio do Içá,-3.1022,-67.9397,82.98,72,71,0.58,BR,1636493087
Mānsa,29.9833,75.3833,65.68,27,0,1.9,IN,1636493087
Kalmunai,7.4167,81.8167,75.85,93,100,11.63,LK,1636493088
Pinega,64.7001,43.3936,22.21,95,74,3.44,RU,1636493088
Tuatapere,-46.1333,167.6833,61.54,64,100,0.98,NZ,1636493089
Ouégoa,-20.35,164.4333,79.2,70,100,6.89,NC,1636493089
Whitehorse,60.7161,-135.0538,18.37,85,90,4.0,CA,1636492852
Ostrovnoy,68.0531,39.5131,23.58,88,100,18.28,RU,1636493090
Lebu,-37.6167,-73.65,56.39,77,99,9.89,CL,1636493091
Lagoa,39.05,-27.9833,65.53,81,5,8.52,PT,1636493091
Maïné Soroa,13.2114,12.0241,83.37,14,0,8.21,NE,1636493092
Heraclea,37.5133,34.0467,53.83,40,8,1.03,TR,1636493093
Faanui,-16.4833,-151.75,79.57,72,21,10.29,PF,1636493093
Omboué,-1.5746,9.2618,74.93,93,100,2.57,GA,1636493094
Zeerust,-25.5369,26.0751,65.21,23,5,3.76,ZA,1636493094
Vila Franca do Campo,37.7167,-25.4333,70.2,83,100,12.17,PT,1636493095
Amapá,1.0,-52.0,74.48,97,100,3.98,BR,1636493095
Atar,20.5169,-13.0499,79.36,16,100,6.35,MR,1636493096
Baghdad,33.3406,44.4009,55.31,44,0,0.0,IQ,1636492887
Asekeyevo,53.5742,52.7972,37.08,90,77,7.7,RU,1636493097
Río Gallegos,-51.6226,-69.2181,86.05,7,0,23.02,AR,1636493097
Namatanai,-3.6667,152.4333,81.73,77,100,9.89,PG,1636492990
Castelo Branco,39.8222,-7.4909,54.79,58,0,4.76,PT,1636493098
Chaman,30.9236,66.4512,51.1,44,0,0.18,PK,1636493099
Felanitx,39.4696,3.1483,59.52,84,100,30.27,ES,1636493100
Saint-Pierre,-21.3393,55.4781,73.29,68,0,5.75,RE,1636493100
Minsk,53.9,27.5667,24.55,61,62,4.9,BY,1636492816
Yinchuan,38.4681,106.2731,29.16,45,0,3.85,CN,1636493101
Mwense,-10.3845,28.698,76.21,38,57,3.69,ZM,1636493102
Hermanus,-34.4187,19.2345,58.89,75,32,2.44,ZA,1636493103
Kamaishi,39.2667,141.8833,55.45,88,100,13.15,JP,1636493104
Mount Gambier,-37.8333,140.7667,48.11,87,90,6.91,AU,1636493105
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,87.06,36,99,6.51,AR,1636493098
Chui,-33.6971,-53.4616,64.15,69,13,8.88,UY,1636493107
Mumford,5.2618,-0.759,79.79,85,100,9.42,GH,1636493107
Saldanha,-33.0117,17.9442,55.45,80,3,11.92,ZA,1636492965
Alofi,-19.0595,-169.9187,82.29,69,100,12.66,NU,1636493108
Kaka,37.3482,59.6143,45.68,43,0,5.91,TM,1636493109
Nānākuli,21.3906,-158.1547,84.15,52,1,10.36,US,1636493109
Jizan,17.3333,42.6667,83.34,63,64,4.52,SA,1636493110
Derzhavīnsk,51.1,66.3167,36.14,42,100,19.98,KZ,1636493110
Yulara,-25.2406,130.9889,67.84,100,75,8.05,AU,1636493111
Port Blair,11.6667,92.75,81.99,81,78,11.34,IN,1636493112
Waiuku,-37.25,174.75,68.32,93,73,3.0,NZ,1636493112
Klaksvík,62.2266,-6.589,45.52,67,40,38.25,FO,1636493113
Ilulissat,69.2167,-51.1,10.42,61,75,12.66,GL,1636493113
Ürümqi,43.801,87.6005,18.55,68,0,0.0,CN,1636493114
Porbandar,21.6422,69.6093,78.71,38,96,5.46,IN,1636493115
Belawan,3.7755,98.6832,77.29,93,100,5.93,ID,1636493115
Pokhara,28.2333,83.9833,58.42,59,0,5.23,NP,1636493116
Nemuro,43.3236,145.575,54.93,95,100,46.13,JP,1636493116
Tacuarembó,-31.7333,-55.9833,72.52,68,2,11.14,UY,1636493117
Shahr-e Bābak,30.1165,55.1186,46.56,60,0,2.44,IR,1636493118
Nawāda,24.8833,85.5333,61.09,67,4,4.43,IN,1636493118
Okhotsk,59.3833,143.3,2.43,77,2,10.45,RU,1636493119
Hofn,64.2539,-15.2082,40.69,67,85,12.93,IS,1636493120
Keetmanshoop,-26.5833,18.1333,70.86,17,2,11.16,NA,1636493120
Mar del Plata,-38.0023,-57.5575,57.22,83,20,8.01,AR,1636492924
Igbaras,10.7157,122.2657,77.68,88,100,10.76,PH,1636493122
Lavrentiya,65.5833,-171.0,8.89,77,5,6.35,RU,1636493122
Alta Floresta,-9.8756,-56.0861,75.72,87,89,2.89,BR,1636493123
Sisimiut,66.9395,-53.6735,12.97,84,75,11.97,GL,1636493124
São Filipe,14.8961,-24.4956,76.82,70,100,7.78,CV,1636493125
Aranda de Duero,41.6704,-3.6892,43.25,61,2,6.87,ES,1636493125
Calvinia,-31.4707,19.776,63.81,33,13,4.0,ZA,1636493126
Pacific Grove,36.6177,-121.9166,64.6,88,98,13.0,US,1636493127
Dingle,10.9995,122.6711,75.94,93,99,7.09,PH,1636493127
Saskylakh,71.9167,114.0833,-16.47,100,83,5.1,RU,1636493128
Mossamedes,-15.1961,12.1522,69.15,80,35,3.74,AO,1636493129
Ciudad del Carmen,18.6333,-91.8333,78.84,53,1,6.91,MX,1636493129
Changqing,36.5575,116.7272,36.14,79,0,3.91,CN,1636493130
Kalamare,-22.9337,26.5703,75.47,26,87,3.98,BW,1636493130
Delmas 73,18.5447,-72.3028,84.92,66,20,9.22,HT,1636493131
Abu Samrah,35.3029,37.1841,63.27,28,0,5.84,SY,1636493131
Santa Marta,11.2408,-74.199,83.75,74,61,11.86,CO,1636492928
Lompoc,34.6391,-120.4579,69.69,85,90,0.0,US,1636493132
Kieta,-6.2167,155.6333,81.48,82,71,6.02,PG,1636493133
Aswān,24.0934,32.907,77.41,22,0,8.79,EG,1636493134
Shakawe,-18.3667,21.85,78.82,42,39,6.89,BW,1636493134
Ribeira Grande,38.5167,-28.7,63.0,82,20,6.91,PT,1636492950
Avera,33.194,-82.5271,79.72,27,0,2.21,US,1636493135
Ca Mau,9.1769,105.15,74.71,97,100,6.2,VN,1636493136
Sitka,57.0531,-135.33,44.49,57,90,3.44,US,1636493136
Ancud,-41.8697,-73.8203,69.33,68,0,9.28,CL,1636492960
Norman Wells,65.282,-126.8329,15.84,79,75,27.63,CA,1636492951
Biltine,14.5333,20.9167,81.43,18,1,3.42,TD,1636493138
Pangnirtung,66.1451,-65.7125,12.2,62,20,2.3,CA,1636493138
Beringovskiy,63.05,179.3167,16.74,99,93,5.86,RU,1636493139
Emba,48.8264,58.1442,44.31,76,100,18.34,KZ,1636493140
Fukuechō,32.6881,128.8419,57.54,67,100,29.24,JP,1636493141
Kupang,-10.1667,123.5833,80.82,81,86,3.27,ID,1636493141
Barinas,8.6226,-70.2075,87.49,53,34,5.28,VE,1636493142
Caravelas,-17.7125,-39.2481,76.64,83,91,4.47,BR,1636493142
Quime,-16.9833,-67.2167,58.68,75,90,8.08,BO,1636493143
Bontang,0.1333,117.5,77.83,90,100,5.3,ID,1636493143
San Quintín,30.4833,-115.95,67.66,63,0,16.6,MX,1636493144
Kushikino,31.7167,130.2667,49.46,64,100,21.7,JP,1636493145
Birjand,32.8663,59.2211,34.27,51,0,6.91,IR,1636493146
Belmonte,-15.8631,-38.8828,77.5,82,80,6.89,BR,1636493146
Naryan-Mar,67.6713,53.087,14.77,88,12,4.59,RU,1636493147
Antón Lizardo,19.05,-95.9833,79.21,71,97,8.57,MX,1636493147
San Patricio,28.017,-97.5169,82.81,52,100,11.7,US,1636493148
Zhalantun,48.0,122.7167,24.62,72,100,6.91,CN,1636493148
Chaohu,31.6,117.8667,41.11,66,0,7.99,CN,1636493149
Nelson Bay,-32.7167,152.15,71.11,82,100,1.99,AU,1636493150
Sémbé,1.6481,14.5806,71.55,96,100,1.99,CG,1636493150
Antibes,43.5624,7.1278,64.67,61,75,8.05,FR,1636493151
Nantucket,41.2835,-70.0995,61.14,84,1,8.05,US,1636493151
Geraldton,-28.7667,114.6,48.61,93,0,4.61,AU,1636493152
Pontinia,41.4109,13.0441,67.95,77,100,4.0,IT,1636493152
Pervomayskoye,43.919,46.7102,52.39,86,100,3.8,RU,1636493153
Fort Nelson,58.8053,-122.7002,22.59,86,90,4.61,CA,1636493154
Seydi,39.4816,62.9137,42.42,42,0,5.53,TM,1636493154
Te Anau,-45.4167,167.7167,57.42,73,100,0.31,NZ,1636493155
Korla,41.7597,86.1469,29.25,32,26,1.54,CN,1636493156
Laas,46.6166,10.7002,38.28,76,72,1.36,IT,1636493156
Malibu,34.005,-118.8101,74.68,82,69,1.99,US,1636493157
Necochea,-38.5473,-58.7368,59.85,67,9,12.77,AR,1636493158
Darhan,49.4867,105.9228,24.62,67,23,2.04,MN,1636493158
Moche,-8.1711,-79.0092,66.38,77,40,10.36,PE,1636493159
Kodarmā,24.4667,85.6,62.15,68,23,3.06,IN,1636493159
Truth or Consequences,33.1284,-107.2528,75.9,18,1,8.05,US,1636493160
Ahipara,-35.1667,173.1667,64.78,67,100,3.89,NZ,1636493161
Tayu,-6.5397,111.0518,77.92,90,100,9.57,ID,1636493162
Rawson,-43.3002,-65.1023,65.5,34,0,26.82,AR,1636493163
Shingū,33.7333,135.9833,55.13,69,89,8.12,JP,1636493164
Ossora,59.2353,163.0719,9.12,83,62,5.06,RU,1636493164
Provideniya,64.3833,-173.3,14.11,79,0,2.24,RU,1636493165
Rovaniemi,66.5,25.7167,29.61,100,90,12.66,FI,1636493165
Shancheng,34.7953,116.0817,39.79,68,0,6.76,CN,1636493166
Boende,-0.2167,20.8667,72.66,94,100,2.53,CD,1636493167
Kaupanger,61.1845,7.2404,48.69,65,75,10.36,NO,1636493168
Igarka,67.4667,86.5833,-4.92,100,94,5.99,RU,1636493168
Uşak Province,38.5,29.4167,42.78,42,70,4.72,TR,1636493169
Goundam,16.4145,-3.6708,80.44,18,25,9.62,ML,1636493170
Yavoriv,49.9386,23.3825,29.48,83,9,5.64,UA,1636493170
Portland,45.5234,-122.6762,55.36,76,40,3.0,US,1636492649
Broome,42.2506,-75.833,61.84,66,75,4.61,US,1636493171
Pitimbu,-7.4706,-34.8086,81.19,73,34,10.42,BR,1636493172
Faya,18.3851,42.4509,57.31,44,18,5.3,SA,1636493172
Hamilton,39.1834,-84.5333,65.35,56,1,1.01,US,1636493173
Srednekolymsk,67.45,153.6833,-21.6,98,12,4.45,RU,1636493174
Palmer,42.1584,-72.3287,65.01,51,40,1.01,US,1636493174
Pa Sang,18.5262,98.9394,75.4,97,7,0.25,TH,1636493175
Tura,25.5198,90.2201,62.28,77,7,3.36,IN,1636493176
Salinas,36.6777,-121.6555,65.01,86,100,4.47,US,1636492925
Jiwani,25.05,61.7417,78.03,54,0,8.16,PK,1636493177
Sinnamary,5.3833,-52.95,77.27,88,75,8.25,GF,1636493177
Priyutnoye,46.1011,43.5072,46.4,82,100,12.35,RU,1636493178
Berlevåg,70.8578,29.0864,24.8,74,100,24.16,NO,1636493178
Port Hardy,50.6996,-127.4199,48.2,87,75,14.97,CA,1636493179
Departamento de Maldonado,-34.6667,-54.9167,65.23,68,11,11.01,UY,1636493179
Kavaratti,10.5669,72.642,81.95,67,100,6.33,IN,1636493180
Saint-Joseph,-21.3667,55.6167,72.21,87,67,8.97,RE,1636493181
Aksarka,66.5606,67.7975,1.62,96,39,7.45,RU,1636493182
Zhigansk,66.7697,123.3711,18.45,95,100,11.23,RU,1636493183
Bismil,37.8486,40.6658,49.73,41,4,0.67,TR,1636493184
Talnakh,69.4865,88.3972,-2.18,98,99,5.59,RU,1636493184
Vestmannaeyjar,63.4427,-20.2734,40.93,75,100,24.92,IS,1636493185
Nuuk,64.1835,-51.7216,18.21,73,20,11.5,GL,1636493185
Glace Bay,46.1969,-59.957,52.57,80,75,4.0,CA,1636493186
Ugoofaaru,5.6667,73.0,81.75,78,100,16.78,MV,1636493187
Abaetetuba,-1.7181,-48.8825,75.24,87,100,5.12,BR,1636493187
Xining,36.6167,101.7667,20.82,82,24,2.06,CN,1636492916
Auchi,7.0667,6.2667,75.45,91,75,4.05,NG,1636493188
Hirara,24.8,125.2833,67.66,62,34,18.5,JP,1636493189
Sioux Lookout,50.1001,-91.917,44.67,49,20,11.5,CA,1636493189
College Station,30.628,-96.3344,77.11,60,40,11.5,US,1636493190
Nālūt,30.3333,10.85,60.1,51,52,9.75,LY,1636493191
Akusha,42.2688,47.3411,33.78,40,13,5.39,RU,1636493191
Hithadhoo,-0.6,73.0833,82.96,72,82,20.58,MV,1636493192
Birin,26.8865,88.0718,50.47,60,4,5.35,NP,1636493193
Arroyo de la Encomienda,41.6096,-4.7969,46.6,75,0,17.27,ES,1636493193
Ilek,51.5271,53.3831,41.52,93,100,6.93,RU,1636493194
Labuhan,-6.8844,112.2051,76.87,91,100,10.38,ID,1636493194
Scranton,41.409,-75.6624,63.03,66,22,2.26,US,1636493195
Quesnel,52.9999,-122.5029,46.9,53,1,16.11,CA,1636493195
Tutóia,-2.7619,-42.2744,80.28,77,69,12.19,BR,1636493196
Codrington,-38.2667,141.9667,52.32,63,69,9.06,AU,1636493196
Saqqez,36.2499,46.2735,45.03,18,0,2.86,IR,1636493197
Fairbanks,64.8378,-147.7164,13.96,75,90,6.91,US,1636493198
Quang Ngai,15.1167,108.8,72.37,95,100,6.8,VN,1636493198
Belogorsk,50.9158,128.4611,22.01,95,100,9.1,RU,1636493199
Doka,13.5167,35.7667,82.94,31,38,5.61,SD,1636493199
Pombas,17.1503,-25.0201,71.38,74,100,9.71,CV,1636493200
Mayo,38.8876,-76.5119,73.81,48,1,4.0,US,1636493200
Hasaki,35.7333,140.8333,55.69,71,3,15.55,JP,1636493201
Puerto Peñasco,31.3167,-113.5333,74.91,77,0,5.01,MX,1636493202
Marondera,-18.1853,31.5519,69.48,42,67,3.29,ZW,1636493202
Hobyo,5.3505,48.5268,79.57,71,74,11.05,SO,1636493203
Inhambane,-23.865,35.3833,73.72,82,90,15.79,MZ,1636493204
Øksfjord,70.2396,22.3479,27.52,84,92,8.46,NO,1636493204
Tab,46.7314,18.032,43.25,81,21,6.06,HU,1636493205
Mauá,-23.6678,-46.4614,68.11,76,100,8.43,BR,1636493206
Chiredzi,-21.05,31.6667,72.1,72,26,12.71,ZW,1636493206
Sechura,-5.5569,-80.8222,74.91,59,84,14.52,PE,1636493207
Cap Malheureux,-19.9842,57.6142,74.46,76,6,4.0,MU,1636493208
Katangli,51.7102,143.2326,38.46,99,100,9.93,RU,1636493208
Livingstonia,-10.606,34.1063,71.58,50,49,3.56,MW,1636493209
Mariental,-24.6333,17.9667,70.27,15,34,12.24,NA,1636493209
Deputatsky,69.3,139.9,-1.28,92,100,1.45,RU,1636493210
Morsbach,50.8667,7.75,43.12,91,80,3.15,DE,1636493211
Ambon City,-3.6954,128.1814,77.14,88,40,5.75,ID,1636493211
Dolores,-36.3132,-57.6792,65.97,52,93,10.36,AR,1636492926
Santoña,43.4439,-3.4576,51.44,79,9,4.27,ES,1636493212
Chapais,49.7834,-74.8492,38.98,69,76,6.33,CA,1636492970
Talaya,61.3833,152.75,-13.5,84,3,2.42,RU,1636493213
Gumdag,39.2061,54.5906,48.49,40,0,11.79,TM,1636493214
Sayyan,15.1718,44.3244,52.97,31,69,6.93,YE,1636493214
Kasempa,-13.4584,25.8338,77.68,25,57,5.17,ZM,1636493215
Iraray,8.9936,118.0511,78.76,89,100,7.81,PH,1636493215
Prince Rupert,54.3161,-130.3201,44.29,73,100,14.97,CA,1636493216
Haines Junction,60.7522,-137.5108,21.15,73,100,0.0,CA,1636493217
Huarmey,-10.0681,-78.1522,69.08,76,61,10.83,PE,1636492735
Iqaluit,63.7506,-68.5145,10.13,92,75,10.0,CA,1636493217
Hervey Bay,-25.2986,152.8535,77.11,87,90,7.45,AU,1636493219
Lastoursville,-0.8143,12.7287,72.95,99,100,2.15,GA,1636493219
Moa,20.6569,-74.9403,78.44,84,63,8.14,CU,1636493220
